S.no,States/Uts,Sanction order no,Date of sanction [DD/MM/YYYY],Date of IFD[DD/MM/YYYY],Total Amount released(actual in Rs),Finanacial Year of sanction order,Total Amount released(in lakh),Released for academic year,Amount released for academic year(in lakh),Amount given in reference data (in lakh),Remark if any
169,Rajasthan,20014/22/2012-Education,29/03/2014,,168101700,2013-14,1681.017,2013-14,1681.017,,
170,Rajasthan,No.20014/02/2012-Education,04/09/2013,,53500000,2013-14,535,2013-14,535,,
171,Sikkim,No. 20014/23/2012-Education,11/02/2014,,84549000,2013-14,845.49,2013-14,845.49,,
172,Tamil Nadu,No.20014/14/2012-Education,28/02/2014,,139202000,2013-14,1392.02,2013-14,1392.02,1439.02,Data mismatch between portal and reference data
173,Tripura,20014/25/2012,27/01/2014,,113199000,2013-14,1131.99,2013-14,1131.99,,
174,Tripura,No.20014/02/2012-Education,04/09/2013,,25900000,2013-14,259,2013-14,259,,
175,uttar pradesh,No.20014/02/2012-Education,04/09/2013,,5600000,2013-14,56,2013-14,56,,
176,Uttaranchal,20014/27/2012,22/01/2014,,1398000,2013-14,13.98,2013-14,13.98,,
177,Uttaranchal,20014/27/2012,31/12/2013,,90852000,2013-14,908.52,2013-14,908.52,,
178,Uttaranchal,No.20014/02/2012-Education,04/09/2013,,16400000,2013-14,164,2013-14,164,,
179,West Bengal,20014/28/2012-Education,29/03/2014,,72739000,2013-14,727.39,2013-14,727.39,, 
180,West Bengal,20014/28/2012-Education,29/03/2014,,3162000,2013-14,31.62,2013-14,31.62,, 
181,West Bengal,20014/28/2012,24/01/2014,,128162000,2013-14,1281.62,2013-14,1281.62,, 
182,West Bengal,No.20014/02/2012-Education,04/09/2013,,23700000,2013-14,237,2013-14,237,,
211,Andaman & Nicobar,F.No.20014/03/2018-Sch,25/06/2012,,300000,2012-13,3,2012-13,3,,
183,Andhra Pradesh,20014/4/2018-Sch,06/25/2021,,2716546000,2012-13,27165.46,2012-13,27165.46,,
184,Arunachal Pradesh,NO.20010/04/2012-Education,31/08/2012,,63300000,2012-13,633,2012-13,633,,
185,Assam,20014/6/2018-Sch,12/09/2012,,129780000,2012-13,1297.8,2012-13,1297.8,4537.68855,Data mismatch between portal and reference data
186,Bihar,,,,,2012-13,,,,90,"Data not available on MoTA portal, only available in reference data."
187,Chhattisgarh,20014/8/2018-Sch,,,,2012-13,,,,3150.31,"Data not available on MoTA portal, only available in reference data."
189,Goa,,,,,2012-13,,,,8,"Data not available on MoTA portal, only available in reference data."
190,Gujarat,,,,,2012-13,,,,2460.71,"Data not available on MoTA portal, only available in reference data."
191,Himachal Pradesh,,,,,2012-13,,,,948.52,"Data not available on MoTA portal, only available in reference data."
192,Jammu & Kashmir,NO.20014/11/2012-Education,27/09/2012,,20881000,2012-13,208.81,2012-13,0.0020881,710.06,Data mismatch between portal and reference data
193,Jharkhand,No.20014/12/2012-Education,27/09/2012,,31186000,2012-13,311.86,2012-13,,1344.21,Data mismatch between portal and reference data
194,Karnataka,,,,,2012-13,,,,2522.75,"Data not available on MoTA portal, only available in reference data."
195,Kerala,NO.20014/11/2012-Education,06/11/2012,,28457000,2012-13,284.57,2012-13,284.57,329.45,Data mismatch between portal and reference data
196,Madhya Pradesh,NO.20014/15/2012-Education,04/09/2012,,535357000,2012-13,5353.57,2012-13,5353.57,9542.449,Data mismatch between portal and reference data
197,Maharashtra,NO.20014/16/2012-Education,27/09/2012,,150000000,2012-13,1500,2012-13,1500,4604.38,Data mismatch between portal and reference data
198,Manipur,NO.20014/17/2012-Education,06/11/2012,,187364000,2012-13,1873.64,2012-13,1873.64,4243.64,Data mismatch between portal and reference data
199,Meghalaya,NO.20014/18/2012-Education,21/11/2012,,98393000,2012-13,983.93,2012-13,983.99,1753.42,Data mismatch between portal and reference data
200,Mizoram,No.20014/19/2012-Education,03/10/2012,,152650000,2012-13,1526.5,2012-13,1526.5,3546.61,Data mismatch between portal and reference data
201,Nagaland,,,,,2012-13,,,,2191.09,"Data not available on MoTA portal, only available in reference data."
202,Orissa,No.20014/21/2012-Education,27/09/2012,,400000000,2012-13,4000,2012-13,4000,5405.95,Data mismatch between portal and reference data
203,Rajasthan,,,,,2012-13,,,,2142.99,"Data not available on MoTA portal, only available in reference data."
204,Sikkim,No.20014/02/2012-Education,25/06/2012,,31415000,2012-13,314.15,2012-13,100,,
205,Sikkim,No.20014/23/2012-Education,31/08/2012,,10000000,2012-13,100,2012-13,314.15,,
206,Tamil Nadu,No.20014/14/2012-Education,28/09/2012,,15466000,2012-13,154.66,2012-13,154.66,178.66,Data mismatch between portal and reference data
,Tripura,No.20014/25/2012-Education,09/28/2012,,25912000,2012-13,259.12,2012-13,259.12,1036.47,Data mismatch between portal and reference data
